,statefp,name,state_name,LON,LAT
2237,1,Crenshaw,Alabama,-86.31593104,-86.31593104
2238,54,Hardy,West Virginia,-78.85855301,-78.85855301
2239,6,San Joaquin,California,-121.2730097,-121.2730097
2240,49,Davis,Utah,-112.1139997,-112.1139997
2241,27,Clay,Minnesota,-96.48761922,-96.48761922
2242,37,Lee,North Carolina,-79.17567073,-79.17567073
2243,49,Salt Lake,Utah,-111.9216011,-111.9216011
2244,29,St. Louis,Missouri,-90.4458375,-90.4458375
2245,26,Alpena,Michigan,-83.6221212,-83.6221212
2246,46,Miner,South Dakota,-97.60992207,-97.60992207
